benchmark,solver,type,size,time
Uniform_by_x,CPAM-H,1,535,7.000000e-06
Uniform_by_x,CPAM-H,1,1780,1.800000e-05
Uniform_by_x,CPAM-H,1,1698,1.600000e-05
Uniform_by_x,CPAM-H,1,1666,1.400000e-05
Uniform_by_x,CPAM-H,1,1352,1.100000e-05
Uniform_by_x,CPAM-H,1,858,8.000000e-06
Uniform_by_x,CPAM-H,1,494,7.000000e-06
Uniform_by_x,CPAM-H,1,314,7.000000e-06
Uniform_by_x,CPAM-H,1,5072,8.700000e-05
Uniform_by_x,CPAM-H,1,952,1.500000e-05
Uniform_by_x,CPAM-H,1,4120,4.600000e-05
Uniform_by_x,CPAM-H,1,2229,2.400000e-05
Uniform_by_x,CPAM-H,1,206,5.000000e-06
Uniform_by_x,CPAM-H,1,2023,2.600000e-05
Uniform_by_x,CPAM-H,1,1972,1.900000e-05
Uniform_by_x,CPAM-H,1,1444,1.500000e-05
Uniform_by_x,CPAM-H,1,519,7.000000e-06
Uniform_by_x,CPAM-H,1,925,1.300000e-05
Uniform_by_x,CPAM-H,1,528,9.000000e-06
Uniform_by_x,CPAM-H,1,1891,2.000000e-05
Uniform_by_x,CPAM-H,1,1409,1.600000e-05
Uniform_by_x,CPAM-H,1,1218,1.200000e-05
Uniform_by_x,CPAM-H,1,801,1.100000e-05
Uniform_by_x,CPAM-H,1,417,7.000000e-06
Uniform_by_x,CPAM-H,1,191,4.000000e-06
Uniform_by_x,CPAM-H,1,482,8.000000e-06
Uniform_by_x,CPAM-H,1,7830,1.850000e-04
Uniform_by_x,CPAM-H,1,992,1.300000e-05
Uniform_by_x,CPAM-H,1,6838,9.200000e-05
Uniform_by_x,CPAM-H,1,5228,5.600000e-05
Uniform_by_x,CPAM-H,1,1438,1.700000e-05
Uniform_by_x,CPAM-H,1,324,6.000000e-06
Uniform_by_x,CPAM-H,1,1114,1.500000e-05
Uniform_by_x,CPAM-H,1,465,9.000000e-06
Uniform_by_x,CPAM-H,1,649,1.100000e-05
Uniform_by_x,CPAM-H,1,3790,4.100000e-05
Uniform_by_x,CPAM-H,1,460,1.000000e-05
Uniform_by_x,CPAM-H,1,3330,3.200000e-05
Uniform_by_x,CPAM-H,1,2560,2.600000e-05
Uniform_by_x,CPAM-H,1,1391,1.400000e-05
Uniform_by_x,CPAM-H,1,885,1.300000e-05
Uniform_by_x,CPAM-H,1,506,8.000000e-06
Uniform_by_x,CPAM-H,1,1169,1.300000e-05
Uniform_by_x,CPAM-H,1,1131,1.300000e-05
Uniform_by_x,CPAM-H,1,1082,1.100000e-05
Uniform_by_x,CPAM-H,1,893,9.000000e-06
Uniform_by_x,CPAM-H,1,189,5.000000e-06
Uniform_by_x,CPAM-H,1,770,1.800000e-05
Uniform_by_x,CPAM-H,1,1610,4.200000e-05
Uniform_by_x,CPAM-H,1,1376,1.700000e-05
Uniform_by_x,CPAM-H,1,394,9.000000e-06
Uniform_by_x,CPAM-H,1,982,1.500000e-05
Uniform_by_x,CPAM-H,1,234,8.000000e-06
Uniform_by_x,CPAM-H,1,7619,1.530000e-04
Uniform_by_x,CPAM-H,1,3530,5.500000e-05
Uniform_by_x,CPAM-H,1,2089,3.200000e-05
Uniform_by_x,CPAM-H,1,653,6.000000e-06
Uniform_by_x,CPAM-H,1,1436,1.600000e-05
